Plugin ID 1,Plugin Name 1,CVEs 1,Plugin ID 2,Plugin Name 2,CVEs 2,Similarity
nessus-83122,Fedora 20 : icu-50.1.2-12.fc20 (2015-6084),,qualys-122685,Fedora Security Update for procmail (FEDORA-2014-1035),,0.6679999999999999
nessus-83123,Fedora 21 : icu-52.1-6.fc21 (2015-6087),"CVE-2014-7923, CVE-2014-7926, CVE-2014-9654",qualys-175324,Debian Security Update for icu (DSA 3187-1),"CVE-2013-1569, CVE-2013-2383, CVE-2013-2384, CVE-2013-2419, CVE-2014-6585, CVE-2014-6591, CVE-2014-7923, CVE-2014-7926, CVE-2014-7940, CVE-2014-9654",0.6900000000000001
nessus-83124,Fedora 20 : java-1.8.0-openjdk-1.8.0.45-31.b13.fc20,,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.6666666666666666
nessus-83125,Fedora 21 : ruby-2.1.6-27.fc21 (2015-6377),CVE-2015-1855,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.712
nessus-83126,Fedora 22 : ax25-tools-0.0.10-0.12.rc2.fc22,,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.6633333333333334
nessus-83127,Fedora 21 : firefox-37.0.2-1.fc21 / xulrunner-37.0.2-1.fc21 (2015-6615),,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.6766666666666667
nessus-83128,Fedora 20 : curl-7.32.0-20.fc20 (2015-6712),"CVE-2015-3143, CVE-2015-3145, CVE-2015-3148",qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.6980000000000001
nessus-83129,Fedora 22 : wpa_supplicant-2.3-3.fc22,,qualys-116342,Fedora Update for glib2 (FEDORA-2009-2688),CVE-2008-4316,0.6900000000000001
nessus-83130,FreeBSD : chromium -- multiple vulnerabilities,"CVE-2015-1243, CVE-2015-1250",qualys-10068,Concrete5 Multiple Cross-Site Scripting Vulnerabilities,CVE-2015-2250,0.7766666666666667
nessus-83131,Oracle Linux 7 : 389-ds-base,CVE-2015-1854,qualys-350796,Amazon Linux Security Advisory for bind: AL2012-2015-035,CVE-2015-7547,0.69
nessus-83131,Oracle Linux 7 : 389-ds-base,,qualys-350831,Amazon Linux Security Advisory for glibc: AL2012-2016-113,,0.69
nessus-83132,RHEL 7 : 389-ds-base (RHSA-2015:0895),CVE-2015-1854,qualys-350796,Amazon Linux Security Advisory for bind: AL2012-2015-035,CVE-2015-1349,0.7033333333333333
nessus-83133,SuSE 11.3 Security Update : coreutils (SAT Patch Number 10620),CVE-2014-9471,qualys-170044,OpenSUSE Security Update for bash (openSUSE-SU-2017:1402-1),CVE-2016-9401,0.77
nessus-83134,Ubuntu 14.04 LTS / 14.10 / 15.04 : network-manager vulnerability (USN-2581-1),CVE-2015-1322,qualys-11830,Ruby on Rails Cross-Site Scripting Vulnerability,CVE-2015-3226,0.7566666666666667
nessus-83135,AIX Java Advisory : Multiple Vulnerabilities (Bar Mitzvah),"CVE-2015-0138, CVE-2015-2808",qualys-86480,IBM Lotus Domino 6.0 Multiple Vulnerabilities,"CVE-2003-0178, CVE-2003-0179",0.7033333333333333
nessus-83136,Google Chrome < 42.0.2311.135 Multiple Vulnerabilities,"CVE-2015-1243, CVE-2015-1250",qualys-119392,Google Chrome Prior to 12.0.742.122 Multiple Vulnerabilities,,0.84
nessus-83137,Google Chrome < 42.0.2311.135 Multiple Vulnerabilities (Mac OS X),"CVE-2015-1243, CVE-2015-1250",qualys-119392,Google Chrome Prior to 12.0.742.122 Multiple Vulnerabilities,,0.81
nessus-83138,WordPress <= 3.9.5 / 4.1.x < 4.1.4 / 4.2.x,,qualys-121437,Red Hat Update for GDM (RHSA-2013:1213),CVE-2013-4169,0.5466666666666667
nessus-83140,Request Tracker 4.0.x < 4.0.23 / 4.2.x < 4.2.10 Multiple Vulnerabilities,"CVE-2014-9472, CVE-2015-1165, CVE-2015-1464",qualys-11613,Multiple Axis Network Cameras Cross-site Scripting Vulnerabilities,CVE-2015-8256,0.68
nessus-83141,Request Tracker Unsupported Version Detection,,qualys-38304,SSH Protocol Version 1 Supported,CVE-2001-1473,0.6
nessus-83142,Debian DLA-209-1 : jruby security update,CVE-2011-4838,qualys-176027,Debian Security Update for git (DSA 3848-1),CVE-2017-8386,0.82
nessus-83143,Debian DLA-211-1 : curl security update,"CVE-2015-3143, CVE-2015-3148",qualys-351046,Amazon Linux Security Advisory for bind: ALAS-2017-858,"CVE-2017-3143, CVE-2017-3142",0.7400000000000001
nessus-83144,Debian DLA-212-1 : php5 security update,"CVE-2014-9705, CVE-2015-0232, CVE-2015-2301, CVE-2015-2331, CVE-2015-2783, CVE-2015-2787, CVE-2015-3329, CVE-2015-3330",qualys-350770,Amazon Linux Security Advisory for nrpe: AL2012-2015-061,CVE-2015-7575,0.6666666666666666
nessus-83144,Debian DLA-212-1 : php5 security update,,qualys-350838,Amazon Linux Security Advisory for tomcat6: AL2012-2016-120,,0.6666666666666666
nessus-83144,Debian DLA-212-1 : php5 security update,,qualys-350842,Amazon Linux Security Advisory for nspr nss-util nss: AL2012-2016-124,,0.6666666666666666
nessus-83145,Debian DSA-3239-1 : icecast2 - security update,CVE-2015-3026,qualys-350902,Amazon Linux Security Advisory for fuse: AL2012-2016-155,CVE-2015-3202,0.7566666666666667
nessus-83146,Debian DSA-3240-1 : curl - security update,CVE-2015-3153,qualys-175379,Debian Security Update for ruby1.8 (DSA 3245-1),CVE-2015-1855,0.732
nessus-83147,Debian DSA-3241-1 : elasticsearch - security update,CVE-2015-3337,qualys-175341,Debian Security Update for python-django (DSA 3204-1),CVE-2015-2317,0.7979999999999999
nessus-83148,F5 Networks BIG-IP : BIG-IP Automatic Update Check and ASM Automatic Signature Update man-in-the-middle vulnerability,CVE-2014-9326,qualys-43420,Cisco IOS Software Network Address Translation Denial of Service Vulnerability (cisco-sa-20140924-nat),CVE-2014-3361,0.7233333333333333
nessus-83149,Fedora 22 : netcf-0.2.8-1.fc22 (2015-5885),CVE-2014-8119,qualys-350776,Amazon Linux Security Advisory for socat: AL2012-2015-055,CVE-2014-7810,0.7000000000000001
nessus-83149,Fedora 22 : netcf-0.2.8-1.fc22 (2015-5885),,qualys-350838,Amazon Linux Security Advisory for tomcat6: AL2012-2016-120,,0.7000000000000001
nessus-83150,Fedora 22 : yourls-1.7-3.20150410gitabc7d6c.fc22,CVE-2014-8488,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.7100000000000001
nessus-83151,Fedora 20 : yourls-1.7-3.20150410gitabc7d6c.fc20,CVE-2014-8488,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.7060000000000001
nessus-83152,Fedora 21 : yourls-1.7-3.20150410gitabc7d6c.fc21,CVE-2014-8488,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.7060000000000001
nessus-83153,Fedora 22 : testdisk-7.0-2.fc22 (2015-6892),,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.6900000000000001
nessus-83154,Fedora 21 : libreoffice-4.3.7.2-3.fc21,CVE-2015-1774,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.708
nessus-83155,Mandriva Linux Security Advisory : lftp,CVE-2014-0139,qualys-350776,Amazon Linux Security Advisory for socat: AL2012-2015-055,CVE-2014-0019,0.8000000000000002
nessus-83156,Mandriva Linux Security Advisory : libksba,,qualys-350983,Amazon Linux Security Advisory for munin: ALAS-2017-818,CVE-2017-6188,0.66
nessus-83157,Mandriva Linux Security Advisory : t1utils,,qualys-175354,Debian Security Update for libgd2 (DSA 3215-1),"CVE-2014-2497, CVE-2014-9709",0.6666666666666666
nessus-83158,Mandriva Linux Security Advisory : ntop,CVE-2014-4165,qualys-350760,Amazon Linux Security Advisory for lzo: AL2012-2015-072,CVE-2014-0467,0.7633333333333333
nessus-83158,Mandriva Linux Security Advisory : ntop,,qualys-350792,Amazon Linux Security Advisory for mutt: AL2012-2015-039,,0.7633333333333333
nessus-83159,openSUSE Security Update : curl,"CVE-2015-3143, CVE-2015-3144, CVE-2015-3145, CVE-2015-3148",qualys-175372,Debian Security Update for curl (DSA 3232-1),"CVE-2015-3143, CVE-2015-3144, CVE-2015-3145, CVE-2015-3148",0.8933333333333334
nessus-83160,openSUSE Security Update : python-Pillow,"CVE-2014-3589, CVE-2014-3598, CVE-2014-9601",qualys-176037,Debian Security Update for mysql-connector-java (DSA 3857-1),"CVE-2017-3586, CVE-2017-3589",0.7200000000000001
nessus-83161,RHEL 6 : Virtualization Manager,"CVE-2015-0237, CVE-2015-0257",qualys-124719,Red Hat Update for sos (RHSA-2016:0188),CVE-2015-7529,0.7140000000000001
nessus-83162,Huawei SSH DoS (HWPSIRT-2014-0701),CVE-2014-8572,qualys-350804,Amazon Linux Security Advisory for wget: AL2012-2015-027,CVE-2014-4877,0.6966666666666667
nessus-83163,Citrix XenServer Multiple Vulnerabilities,"CVE-2014-3615, CVE-2014-7815, CVE-2014-8106",qualys-86652,HP Web JetAdmin Multiple Vulnerabilities,,0.72
nessus-83163,Citrix XenServer Multiple Vulnerabilities,,qualys-119360,Winamp Multiple Vulnerabilities,,0.72
nessus-83164,Debian DLA-210-1 : qt4-x11 security update,"CVE-2013-0254, CVE-2015-0295, CVE-2015-1858, CVE-2015-1859, CVE-2015-1860",qualys-350836,Amazon Linux Security Advisory for jakarta-taglibs-standard: AL2012-2016-118,CVE-2015-0254,0.81
nessus-83165,Debian DLA-213-1 : openjdk-6 security update,"CVE-2015-0460, CVE-2015-0469, CVE-2015-0470, CVE-2015-0477, CVE-2015-0478, CVE-2015-0480, CVE-2015-0488",qualys-350767,Amazon Linux Security Advisory for java-1.6.0-openjdk: AL2012-2015-064,"CVE-2015-0469, CVE-2015-0478, CVE-2015-0480, CVE-2015-0477, CVE-2015-0488, CVE-2005-1080, CVE-2015-0460",0.8066666666666666
nessus-83166,Debian DLA-214-1 : libxml-libxml-perl security update,CVE-2015-3451,qualys-175378,Debian Security Update for libxml-libxml-perl (DSA 3243-1),CVE-2015-3451,0.764
nessus-83167,Debian DLA-215-1 : libjson-ruby security update,CVE-2013-0269,qualys-350815,Amazon Linux Security Advisory for trousers: AL2012-2014-016,CVE-2012-0698,0.7399999999999999
nessus-83168,Debian DLA-216-1 : squid security update,CVE-2014-3609,qualys-350896,Amazon Linux Security Advisory for squid: AL2012-2016-149,"CVE-2013-4115, CVE-2014-3609",0.8566666666666666
nessus-83169,Mandriva Linux Security Advisory : sqlite3,"CVE-2015-3414, CVE-2015-3415, CVE-2015-3416",qualys-11770,Acti Cameras Multiple Security vulnerabilities,"CVE-2017-3184, CVE-2017-3185, CVE-2017-3186",0.71
nessus-83170,Mandriva Linux Security Advisory : glibc,"CVE-2013-7423, CVE-2015-1781",qualys-350752,Amazon Linux Security Advisory for glibc: AL2012-2015-080,"CVE-2015-1781, CVE-2013-7423",0.8733333333333334
nessus-83171,openSUSE Security Update : DirectFB,"CVE-2014-2977, CVE-2014-2978",qualys-175290,Debian Security Update for ntp (DSA 3154-1),"CVE-2014-9297, CVE-2014-9298",0.79
nessus-83172,RHEL 5 : kernel (RHSA-2015:0919),CVE-2014-8159,qualys-350776,Amazon Linux Security Advisory for socat: AL2012-2015-055,CVE-2014-0019,0.6933333333333334
nessus-83173,RHEL 6 : chromium-browser (RHSA-2015:0921),"CVE-2015-1243, CVE-2015-1250",qualys-350801,Amazon Linux Security Advisory for glibc: AL2012-2015-030,CVE-2015-0235,0.64
nessus-83174,Scientific Linux Security Update : Important: 389-Ds-Base Security Update on SL7.x srpm/x86_64,CVE-2015-1854,qualys-175379,Debian Security Update for ruby1.8 (DSA 3245-1),CVE-2015-1855,0.7600000000000001
nessus-83175,Ubuntu 10.04 LTS : linux vulnerability,CVE-2015-3339,qualys-11830,Ruby on Rails Cross-Site Scripting Vulnerability,CVE-2015-3226,0.7033333333333333
nessus-83176,Ubuntu 10.04 LTS : linux-ec2 vulnerability,CVE-2015-3339,qualys-11830,Ruby on Rails Cross-Site Scripting Vulnerability,CVE-2017-3139,0.7033333333333333
nessus-83176,Ubuntu 10.04 LTS : linux-ec2 vulnerability,,qualys-350998,Amazon Linux Security Advisory for bind: ALAS-2017-833,,0.7033333333333333
nessus-83177,Ubuntu 12.04 LTS : linux vulnerability,CVE-2015-2922,qualys-11830,Ruby on Rails Cross-Site Scripting Vulnerability,CVE-2015-3226,0.7566666666666667
nessus-83178,Ubuntu 12.04 LTS : linux-lts-trusty vulnerabilities (USN-2587-1),"CVE-2015-2666, CVE-2015-2922",qualys-196753,Ubuntu Security Notification for Dovecot Vulnerability (USN-3258-1),CVE-2017-2669,0.694
nessus-83179,Ubuntu 14.04 LTS : linux vulnerabilities,"CVE-2015-2666, CVE-2015-2922",qualys-11830,Ruby on Rails Cross-Site Scripting Vulnerability,CVE-2005-2622,0.6833333333333332
nessus-83179,Ubuntu 14.04 LTS : linux vulnerabilities,,qualys-23018,ECW Shop Index.PHP Cross-Site Scripting Vulnerability,,0.6833333333333332
nessus-83180,Ubuntu 14.04 LTS : linux-lts-utopic vulnerabilities (USN-2589-1),"CVE-2015-2150, CVE-2015-2666, CVE-2015-2830, CVE-2015-2922",qualys-196753,Ubuntu Security Notification for Dovecot Vulnerability (USN-3258-1),CVE-2017-2669,0.708
nessus-83181,Ubuntu 14.10 : linux vulnerabilities,"CVE-2015-2150, CVE-2015-2666, CVE-2015-2830, CVE-2015-2922",qualys-11830,Ruby on Rails Cross-Site Scripting Vulnerability,CVE-2015-3226,0.6766666666666667
nessus-83182,Ubuntu 12.04 LTS / 14.04 LTS / 14.10 / 15.04 : curl vulnerabilities (USN-2591-1),"CVE-2015-3143, CVE-2015-3144, CVE-2015-3145, CVE-2015-3148, CVE-2015-3153",qualys-196755,Ubuntu Security Notification for Bind9 Vulnerabilities (USN-3259-1),"CVE-2017-3136, CVE-2017-3137, CVE-2017-3138",0.656
nessus-83183,Cisco Unified Computing System Integrated Management Controller XSRF (CSCuq45477),CVE-2014-7996,qualys-43401,Cisco Linksys EA2700/E4200/EA3500/EA4500 Authentication Bypass Vulnerability,CVE-2014-3964,0.68
nessus-83184,VMware vSphere Update Manager Java Vulnerability (VMSA-2015-0003),CVE-2014-6593,qualys-350797,Amazon Linux Security Advisory for java-1.6.0-openjdk: AL2012-2015-034,"CVE-2014-6502, CVE-2014-6457, CVE-2015-0383, CVE-2014-6506, CVE-2014-6531, CVE-2014-6601, CVE-2014-6591, CVE-2015-0395, CVE-2014-6593, CVE-2014-6587, CVE-2014-6585, CVE-2014-3566, CVE-2015-0408, CVE-2015-0410, CVE-2015-0412, CVE-2014-6504, CVE-2015-0407, CVE-2014-6519, CVE-2014-6558, CVE-2014-6517, CVE-2014-6511, CVE-2014-6512",0.8233333333333333
nessus-83185,Realtek SDK miniigd SOAP Service RCE,CVE-2014-8361,qualys-350820,Amazon Linux Security Advisory for procmail: AL2012-2014-011,CVE-2014-3618,0.7033333333333335
nessus-83186,VMware vCenter Server Multiple Java Vulnerabilities (VMSA-2015-0003) (POODLE),"CVE-2014-3566, CVE-2014-6549, CVE-2014-6585, CVE-2014-6587, CVE-2014-6591, CVE-2014-6593, CVE-2014-6601, CVE-2015-0383, CVE-2015-0395, CVE-2015-0400, CVE-2015-0403, CVE-2015-0406, CVE-2015-0407, CVE-2015-0408, CVE-2015-0410, CVE-2015-0412, CVE-2015-0413, CVE-2015-0421, CVE-2015-0437",qualys-122757,Apple Safari SSL 3.0 Information Disclosure Vulnerability (POODLE),CVE-2014-3566,0.8366666666666666
nessus-83190,Debian DLA-218-1 : xorg-server security update,CVE-2015-0255,qualys-350599,Amazon Linux Security Advisory for xorg-x11-server: AL2012-2015-083,CVE-2015-0255,0.86
nessus-83191,Debian DSA-3242-1 : chromium-browser - security update,"CVE-2015-1243, CVE-2015-1250",qualys-175362,Debian Security Update for chrony (DSA 3222-1),"CVE-2015-1821, CVE-2015-1822, CVE-2015-1853",0.762
nessus-83192,Debian DSA-3243-1 : libxml-libxml-perl - security update,CVE-2015-3451,qualys-175378,Debian Security Update for libxml-libxml-perl (DSA 3243-1),CVE-2015-3451,0.992
nessus-83193,Debian DSA-3244-1 : owncloud - security update,"CVE-2015-3011, CVE-2015-3012, CVE-2015-3013",qualys-350831,Amazon Linux Security Advisory for glibc: AL2012-2016-113,CVE-2015-7547,0.6633333333333333
nessus-83194,Fedora 20 : fcgi-2.4.0-26.fc20 (2015-1790),,qualys-122686,Fedora Security Update for curl (FEDORA-2014-1074),"CVE-2014-3613, CVE-2014-3620",0.6733333333333333
nessus-83195,Fedora 21 : fcgi-2.4.0-26.fc21 (2015-1803),,qualys-116247,Fedora Update for python-crypto (FEDORA-2009-1680),CVE-2009-0544,0.6733333333333333
nessus-83196,Fedora 21 : mailman-2.1.20-1.fc21,CVE-2015-2775,qualys-350846,Amazon Linux Security Advisory for gnutls: AL2012-2016-128,CVE-2015-7575,0.7333333333333334
nessus-83197,Fedora 21 : qt-4.8.6-28.fc21 (2015-6252),"CVE-2015-1858, CVE-2015-1859, CVE-2015-1860",qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.704
nessus-83198,Fedora 20 : proftpd-1.3.4e-3.fc20,CVE-2015-3306,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.712
nessus-83199,Fedora 21 : ax25-tools-0.0.10-0.12.rc2.fc21,,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.6633333333333334
nessus-83200,Fedora 21 : FlightGear-3.2.0-2.fc21 / FlightGear-data-3.2.0-2.fc21 (2015-6441),,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.6633333333333334
nessus-83201,Fedora 20 : mksh-50f-1.fc20 (2015-6505),,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.6633333333333334
nessus-83202,Fedora 20 : ax25-tools-0.0.10-0.12.rc2.fc20,,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.6633333333333334
nessus-83203,Fedora 21 : mksh-50f-1.fc21 (2015-6550),,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.6633333333333334
nessus-83204,Fedora 20 : qt3-3.3.8b-63.fc20 (2015-6573),CVE-2015-1860,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.74
nessus-83205,Fedora 20 : xen-4.3.4-3.fc20 (2015-6583),CVE-2015-3340,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.708
nessus-83206,Fedora 21 : qt3-3.3.8b-63.fc21 (2015-6661),CVE-2015-1860,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.736
nessus-83207,Fedora 21 : xen-4.4.2-3.fc21 (2015-6670),CVE-2015-3340,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.7
nessus-83208,Fedora 21 : curl-7.37.0-14.fc21 (2015-6728),"CVE-2015-3143, CVE-2015-3144, CVE-2015-3145, CVE-2015-3148",qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.6980000000000001
nessus-83209,Fedora 22 : ikiwiki-3.20150329-1.fc22,CVE-2015-2793,qualys-350830,Amazon Linux Security Advisory for nss: AL2012-2016-112,CVE-2015-2730,0.7333333333333334
nessus-83210,Fedora 21 : ikiwiki-3.20150329-1.fc21,CVE-2015-2793,qualys-350830,Amazon Linux Security Advisory for nss: AL2012-2016-112,CVE-2015-2730,0.7400000000000001
nessus-83211,Fedora 20 : ikiwiki-3.20150329-1.fc20,CVE-2015-2793,qualys-350830,Amazon Linux Security Advisory for nss: AL2012-2016-112,CVE-2015-2730,0.7400000000000001
nessus-83212,Fedora 22 : mingw-curl-7.42.0-1.fc22,"CVE-2014-8150, CVE-2015-3143, CVE-2015-3144, CVE-2015-3145, CVE-2015-3148",qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.7020000000000001
nessus-83213,Fedora 22 : mingw-libgcrypt-1.6.3-1.fc22,"CVE-2014-3591, CVE-2015-0837",qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.708
nessus-83214,Fedora 22 : mingw-libtiff-4.0.3-6.fc22,"CVE-2014-9655, CVE-2015-1547",qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.7
nessus-83215,Fedora 22 : mingw-qt5-qtbase-5.4.1-2.fc22,,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.6766666666666667
nessus-83216,Fedora 22 : mingw-openssl-1.0.2a-1.fc22,"CVE-2015-0209, CVE-2015-0286, CVE-2015-0287, CVE-2015-0288, CVE-2015-0289, CVE-2015-0293",qualys-350772,Amazon Linux Security Advisory for openssl: AL2012-2015-059,"CVE-2015-0292, CVE-2015-0293, CVE-2015-0286, CVE-2015-0287, CVE-2015-0288, CVE-2015-0289, CVE-2015-0293, CVE-2015-0209",0.8366666666666666
nessus-83217,Fedora 22 : pdns-3.4.4-1.fc22 (2015-7018),CVE-2015-1868,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.744
nessus-83218,Fedora 21 : pdns-recursor-3.7.2-1.fc21,CVE-2015-1868,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.748
nessus-83219,Fedora 22 : pdns-recursor-3.7.2-1.fc22,CVE-2015-1868,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.748
nessus-83220,Fedora 21 : pdns-3.4.4-1.fc21 (2015-7047),CVE-2015-1868,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.736
nessus-83221,Fedora 20 : pdns-3.3.1-3.fc20 (2015-7057),CVE-2015-1868,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.74
nessus-83222,Fedora 20 : pdns-recursor-3.7.2-1.fc20,CVE-2015-1868,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.748
nessus-83223,Fedora 22 : dovecot-2.2.16-2.fc22,CVE-2015-3420,qualys-350902,Amazon Linux Security Advisory for fuse: AL2012-2016-155,CVE-2015-3202,0.73
nessus-83224,Fedora 22 : proftpd-1.3.5-6.fc22,CVE-2015-3306,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.7140000000000001
nessus-83225,Fedora 22 : libarchive-3.1.2-12.fc22,,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.67
nessus-83226,Fedora 21 : clamav-0.98.7-1.fc21,"CVE-2015-2170, CVE-2015-2221, CVE-2015-2222, CVE-2015-2668",qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.692
nessus-83227,Fedora 22 : clamav-0.98.7-1.fc22,"CVE-2015-2170, CVE-2015-2221, CVE-2015-2222, CVE-2015-2668",qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.6960000000000001
nessus-83228,Fedora 22 : kernel-4.0.1-300.fc22,CVE-2015-3339,qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.704
nessus-83229,FreeBSD : powerdns -- Label decompression bug can cause crashes or CPU spikes,"CVE-2015-1868, CVE-2015-5470",qualys-10768,WordPress WP Photo Album Plus Plugin Multiple Cross Site Scripting Vulnerabilities,CVE-2015-6585,0.6533333333333333
nessus-83229,FreeBSD : powerdns -- Label decompression bug can cause crashes or CPU spikes,,qualys-11716,WordPress CP Reservation Calendar Plugin Multiple SQL Injection Vulnerabilities,,0.6533333333333333
nessus-83229,FreeBSD : powerdns -- Label decompression bug can cause crashes or CPU spikes,,qualys-110170,Microsoft Excel Remote Code Execution Vulnerabilities (MS11-096),,0.6533333333333333
nessus-83229,FreeBSD : powerdns -- Label decompression bug can cause crashes or CPU spikes,,qualys-370457,Hancom Hangul Word Processor Type Confusion Remote Code Execution Vulnerability,,0.6533333333333333
nessus-83230,openSUSE Security Update : wpa_supplicant,CVE-2015-1863,qualys-175373,Debian Security Update for wpa (DSA 3233-1),CVE-2015-1863,0.8566666666666666
nessus-83231,Debian DSA-3245-1 : ruby1.8 - security update,CVE-2015-1855,qualys-175379,Debian Security Update for ruby1.8 (DSA 3245-1),CVE-2015-1855,0.9460000000000001
nessus-83232,Debian DSA-3246-1 : ruby1.9.1 - security update,CVE-2015-1855,qualys-175380,Debian Security Update for ruby1.9.1 (DSA 3246-1),CVE-2015-1855,0.9480000000000001
nessus-83233,Debian DSA-3247-1 : ruby2.1 - security update,CVE-2015-1855,qualys-175380,Debian Security Update for ruby1.9.1 (DSA 3246-1),CVE-2015-1855,0.8099999999999999
nessus-83234,Debian DSA-3248-1 : libphp-snoopy - security update,CVE-2014-5008,qualys-175381,Debian Security Update for libphp-snoopy (DSA 3248-1),CVE-2014-5008,0.9480000000000001
nessus-83235,Debian DSA-3249-1 : jqueryui - security update,CVE-2010-5312,qualys-175125,Debian Security Update for Aria2 (DSA-2047),CVE-2010-1512,0.738
nessus-83236,Debian DSA-3250-1 : wordpress - security update,"CVE-2015-3438, CVE-2015-3439, CVE-2015-3440",qualys-350836,Amazon Linux Security Advisory for jakarta-taglibs-standard: AL2012-2016-118,CVE-2015-0254,0.6533333333333333
nessus-83237,Fedora 21 : mingw-curl-7.42.0-1.fc21,"CVE-2014-8150, CVE-2015-3143, CVE-2015-3144, CVE-2015-3145, CVE-2015-3148",qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.7020000000000001
nessus-83238,Fedora 21 : mingw-openssl-1.0.2a-1.fc21,"CVE-2015-0209, CVE-2015-0286, CVE-2015-0287, CVE-2015-0288, CVE-2015-0289, CVE-2015-0293",qualys-350772,Amazon Linux Security Advisory for openssl: AL2012-2015-059,"CVE-2015-0292, CVE-2015-0293, CVE-2015-0286, CVE-2015-0287, CVE-2015-0288, CVE-2015-0289, CVE-2015-0293, CVE-2015-0209",0.8366666666666666
nessus-83239,Fedora 21 : mingw-libgcrypt-1.6.3-1.fc21,"CVE-2014-3591, CVE-2015-0837",qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.708
nessus-83240,Fedora 21 : mingw-libtiff-4.0.3-6.fc21,"CVE-2014-9655, CVE-2015-1547",qualys-124706,Fedora Security Update for php-PHPMailer (FEDORA-2015-39522bb8c9),CVE-2015-8476,0.7
